id,campus,00,01,02,03,04,05,06,07,08,09,r00,r01,final
10093,1,50,50,0,56,1,10,1,13,0,10,106,47,50
10094,1,0,0,0,0,0,0,0,0,0,0,0,0,13
10095,1,50,50,20,75,15,15,0,3,0,0,53,22,50
10096,1,62,50,11,25,45,35,2,100,0,2,55,0,50
10097,1,68,55,0,0,67,10,7,100,0,30,85,0,56
10098,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10099,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10101,1,90,79,58,75,60,50,0,100,0,0,97,0,75
10102,1,50,50,50,0,30,15,0,25,0,6,0,66,50
10104,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10106,1,50,31,12,72,60,0,0,75,0,0,0,30,50
10107,1,60,50,50,92,38,10,10,0,0,5,0,18,50
15737,1,90,83,0,75,81,0,0,91,0,0,104,0,63
22309,1,0,0,0,0,0,0,0,0,0,0,0,0,38
16010,1,0,67,60,100,60,70,0,75,0,80,100,0,75
15297,1,90,71,0,95,60,50,0,100,0,0,95,0,69
16795,1,90,57,40,85,60,80,0,75,0,8,84,0,69
21604,1,0,15,60,100,98,40,0,60,0,80,119,0,63
20182,1,0,87,0,100,31,40,0,0,0,0,0,0,13
15890,1,0,61,0,100,60,-42,0,75,0,65,110,0,63
15439,1,71,54,0,0,0,10,0,0,0,0,0,0,13
16712,1,90,0,0,0,0,0,0,0,0,0,0,0,6
15980,1,83,10,5,0,0,20,0,0,0,0,100,0,25
16105,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12368,1,65,0,0,90,0,0,0,90,0,0,106,0,50
19023,1,90,60,0,100,64,0,0,0,0,0,119,0,56
22272,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20095,1,90,83,40,100,100,0,40,100,0,0,108,0,63
21809,7,0,67,40,100,96,-42,0,100,0,0,92,0,56
16055,1,0,0,0,0,0,10,0,0,0,0,0,0,0
16386,1,90,87,0,100,56,40,0,55,0,0,110,0,63
16330,1,73,1,0,100,60,30,16,100,0,0,113,0,56
17273,1,0,67,60,100,59,85,0,75,0,3,107,0,69
19121,1,90,65,83,100,66,55,61,100,0,100,106,0,88
19843,1,90,47,18,75,60,0,0,0,0,0,0,0,19
16776,1,0,63,0,100,60,40,0,75,0,0,100,0,56
16822,1,30,0,0,0,0,0,0,0,0,0,105,0,13
18632,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14635,1,90,55,60,100,60,70,0,0,0,0,72,0,69
22286,1,65,0,0,98,60,55,0,93,0,0,100,0,63
22289,1,45,7,13,0,0,0,0,0,0,0,0,0,0
14778,1,30,100,0,0,60,0,0,55,0,0,84,0,50
16023,1,65,41,5,70,60,40,0,75,0,0,72,0,56
15763,1,0,0,0,0,0,0,0,0,0,0,105,0,13
15080,1,88,87,60,100,60,50,0,100,60,0,109,0,81
11455,1,0,60,25,100,51,35,0,100,0,80,119,0,63
11615,1,0,0,0,75,60,10,0,75,0,0,109,0,50
11194,1,90,0,0,100,0,15,0,76,0,0,111,0,50
11554,1,0,92,0,100,0,10,0,100,0,0,113,0,50
20833,1,90,87,0,96,0,40,0,100,0,0,110,0,56
15541,1,90,43,0,73,55,0,0,85,0,0,92,0,56
22314,1,0,0,0,100,98,10,0,75,0,100,92,0,56
16859,1,0,58,6,100,60,0,0,75,0,43,79,0,56
22284,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18815,1,90,0,0,96,60,15,0,100,0,0,106,0,56
18639,1,120,51,25,100,60,100,16,98,0,60,95,0,75
17295,1,90,70,8,100,100,15,9,100,0,80,0,0,31
22274,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15669,1,51,77,6,15,0,0,0,55,0,0,95,0,50
16825,1,15,65,0,100,0,40,0,75,0,51,106,0,56
15964,1,90,83,0,75,60,80,0,100,0,26,109,0,69
20097,1,118,100,93,100,100,95,125,100,65,100,119,0,94
14861,1,90,47,60,100,100,55,0,100,0,100,119,0,75
16307,1,65,0,0,83,60,0,0,0,0,13,104,0,50
16414,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22316,1,0,0,0,0,0,70,0,0,0,0,0,0,6
15903,1,65,73,0,75,60,55,0,75,0,0,109,0,69
15554,1,90,67,0,100,0,0,0,0,0,80,94,0,56
22305,1,90,87,5,96,64,10,0,100,0,100,93,0,69
15049,1,90,15,13,100,15,40,5,100,0,50,102,0,56
12467,1,0,0,0,0,0,0,0,0,0,0,0,0,6
21564,1,65,53,44,70,60,-42,40,83,0,13,70,0,63
16420,1,0,0,0,0,0,30,0,0,0,0,110,0,13
16462,1,88,1,0,75,60,0,0,0,0,0,98,0,50
11071,1,65,64,46,100,100,0,0,100,0,60,112,0,69
16528,1,65,100,0,100,98,0,0,0,0,0,0,68,56
16349,1,65,60,0,100,60,0,0,0,0,0,33,0,25
15712,1,65,55,0,100,60,-42,0,88,0,0,98,0,63
11232,1,0,15,0,0,0,0,0,0,0,0,110,0,13
20152,1,90,10,5,100,60,30,0,100,0,100,82,0,63
22296,1,118,96,94,100,100,15,0,76,0,100,96,0,75
14959,1,71,45,0,100,60,0,0,68,0,0,82,0,56
15945,1,5,0,0,0,0,90,0,0,0,0,95,0,25
16490,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15231,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19151,7,65,38,8,75,60,0,0,75,0,0,106,0,56
19747,7,0,0,0,0,0,0,0,0,0,0,0,0,0
21217,7,91,32,0,96,100,0,100,98,96,0,112,93,75
22304,1,0,0,0,0,0,0,0,0,0,0,0,0,19
15832,1,30,83,0,100,95,40,0,55,0,0,95,0,56
15063,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10820,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19624,7,16,25,0,0,0,70,0,0,0,0,0,0,6
16627,1,65,76,0,70,0,0,0,0,0,0,112,0,50
20940,7,90,95,53,96,60,90,0,100,0,80,92,0,81
19754,7,90,84,0,100,100,80,60,100,0,0,110,0,75
20969,7,0,0,0,0,0,0,0,0,0,0,0,0,0
18683,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14642,1,0,58,0,96,60,10,0,100,0,0,92,0,56
21065,7,123,100,105,100,100,110,125,100,100,100,119,110,100
22516,8,102,1,40,0,100,10,28,100,0,86,91,0,56
23094,8,120,100,0,100,66,80,0,0,0,0,0,0,75
23071,8,90,67,0,100,60,0,0,100,0,61,100,0,69
22382,8,90,100,74,88,59,0,60,100,0,65,86,0,81
22666,8,65,0,0,75,55,0,0,75,0,66,73,0,63
21540,1,90,87,5,100,100,70,0,100,0,25,106,0,69
22090,2,90,0,60,100,60,0,0,100,0,100,108,0,69
16173,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21964,2,25,59,0,100,45,0,0,0,0,0,0,0,13
18964,1,65,57,0,75,60,0,0,83,0,0,109,0,63
22048,2,0,0,0,0,0,0,0,0,0,0,0,0,34
22006,2,90,67,60,100,0,10,0,0,0,0,0,0,25
22015,2,90,77,0,83,0,15,0,100,0,80,112,0,63
22529,2,45,87,40,90,55,15,0,100,0,30,106,0,56
16172,2,0,34,0,100,25,70,0,100,0,40,104,0,50
19854,1,90,87,25,100,100,65,25,100,0,80,102,0,75
21618,1,90,67,0,0,0,35,0,75,0,65,108,0,56
19162,1,90,67,0,100,60,10,0,0,0,0,112,0,56
23097,8,118,87,60,93,61,0,40,100,0,0,78,0,69
19826,1,121,91,40,96,96,55,0,83,0,80,106,0,75
23087,8,90,80,41,100,66,40,73,91,0,0,109,0,69
19215,1,100,1,0,98,88,15,0,75,0,0,105,0,56
14967,1,81,68,60,95,100,40,0,100,0,0,100,0,69
21925,1,0,0,55,75,0,0,0,0,0,80,85,0,50
18586,1,0,0,0,0,0,0,0,0,0,0,111,0,13
18631,1,90,63,0,100,65,70,0,73,0,80,119,0,75
20133,1,65,87,0,0,59,25,0,0,0,0,96,0,50
22718,8,0,0,0,100,60,0,0,100,0,80,88,0,56
21609,7,0,47,0,92,60,0,0,75,0,0,106,0,50
22430,8,90,67,0,100,100,70,0,100,0,86,115,81,81
22627,8,65,60,0,100,0,-42,28,100,0,65,0,91,63
18918,1,65,87,15,100,0,90,0,0,0,0,88,0,56
19297,1,90,87,0,100,90,35,13,100,0,0,109,0,63
22337,8,90,74,0,85,60,0,0,0,0,0,0,0,25
19284,1,90,60,0,100,60,0,0,0,0,0,105,0,56
18554,1,0,66,0,100,68,30,0,55,0,0,119,0,56
22464,8,90,87,0,100,100,45,46,100,0,100,0,90,69
22636,8,0,0,0,0,0,0,0,0,0,0,0,0,56
20202,1,81,87,0,100,94,0,0,0,0,0,96,0,56
19053,1,90,77,40,95,55,10,0,0,0,0,106,0,56
19986,1,0,0,0,0,0,0,0,0,0,0,107,0,13
18627,1,118,87,0,100,62,10,0,55,0,0,100,0,63
22374,8,90,53,50,65,100,0,0,100,0,0,108,0,69
22423,8,90,71,0,80,16,10,0,100,0,0,0,0,25
20087,1,68,55,0,100,46,65,0,0,0,0,100,0,56
22561,8,0,0,0,0,0,0,0,0,0,0,0,0,25
23203,8,90,87,80,75,60,35,40,100,0,65,0,80,75
22630,8,90,80,0,100,53,-42,40,100,0,100,0,58,69
20302,1,65,0,0,95,60,10,0,58,0,0,100,61,63
20904,1,0,87,0,100,87,70,9,100,0,0,101,0,63
23131,8,90,84,35,100,60,40,0,100,0,0,101,0,63
23170,8,0,0,0,0,0,0,0,0,0,0,0,0,34
12309,1,90,47,0,0,60,70,0,100,0,0,111,0,56
17265,1,0,0,0,96,0,10,0,0,0,0,101,0,25
19063,1,90,68,0,100,73,10,0,0,0,0,106,0,56
16397,1,0,13,0,63,0,80,0,0,0,0,92,0,38
21481,1,90,67,0,90,100,10,0,0,0,0,108,0,56
19216,1,65,15,0,100,93,20,0,75,0,0,106,0,56
22496,8,90,75,25,65,100,35,0,-42,0,100,100,0,63
23154,8,119,100,95,100,100,80,60,100,72,100,115,101,100
19293,1,71,53,0,100,0,-42,0,18,0,0,100,0,50
14797,1,106,73,60,100,100,40,28,100,0,80,109,0,75
18565,1,90,91,60,100,60,80,28,100,0,80,111,0,81
16521,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20080,1,90,91,20,100,32,10,0,0,0,0,110,0,50
18634,1,81,70,0,100,56,35,0,0,0,0,109,0,56
21724,1,90,68,60,100,0,0,0,0,0,0,102,0,56
22644,8,58,63,40,75,60,10,28,100,0,35,59,0,63
19942,7,90,57,0,100,56,0,0,75,0,0,102,0,63
22278,1,106,100,60,97,100,10,97,100,0,0,102,0,75
21528,1,88,64,0,100,60,75,0,75,0,0,90,0,69
22676,8,110,0,60,0,85,15,0,0,0,0,99,0,50
19220,1,65,3,0,91,62,0,28,33,0,80,102,0,56
22365,8,90,49,56,65,100,0,0,100,0,65,91,0,69
22580,8,90,87,36,100,98,0,40,100,0,0,109,0,63
19868,7,90,67,50,100,60,0,0,0,0,0,115,0,63
22762,8,90,0,60,100,60,30,60,100,0,86,0,115,75
21584,1,0,73,0,98,100,70,0,100,0,0,105,0,63
21917,7,90,80,0,98,85,90,0,83,0,61,111,0,75
23112,8,90,77,33,75,60,35,28,100,0,35,0,91,63
19856,1,125,73,0,75,0,50,0,0,0,0,106,0,56
20086,1,58,1,0,75,66,10,0,100,0,0,100,0,56
20043,1,90,31,0,100,93,90,60,100,0,0,108,0,69
19052,1,0,0,0,0,0,40,0,0,0,0,0,0,0
19978,1,90,100,80,100,93,90,60,100,0,0,111,0,81
22433,8,90,87,0,100,60,0,9,100,0,0,0,0,28
23067,8,115,0,0,75,59,60,0,0,0,0,100,0,56
18828,1,65,0,56,69,3,25,0,75,0,0,100,0,56
21535,1,0,74,0,100,60,80,0,55,0,0,106,0,63
23166,8,65,73,13,100,57,-42,0,100,0,80,100,0,69
21539,1,90,81,0,97,0,35,0,0,0,0,90,0,50
23089,8,90,83,60,75,0,0,0,100,0,0,0,0,28
21651,7,0,15,0,100,60,40,0,75,0,0,119,0,50
12093,1,91,0,0,75,94,30,0,100,0,55,119,0,63
22619,8,90,77,53,48,79,-42,0,0,0,80,0,0,28
18788,1,65,84,0,100,60,20,0,0,0,0,111,0,56
21391,1,101,81,0,75,58,40,0,0,0,0,112,0,56
19445,2,125,100,0,0,0,0,0,0,0,0,0,0,13
21881,7,90,58,0,100,96,15,0,91,0,0,119,0,63
22696,8,90,77,53,100,60,90,60,0,95,0,0,115,81
21200,7,78,70,60,91,100,100,0,100,0,0,110,0,75
22524,8,90,83,0,100,60,40,0,0,0,0,100,0,56
22359,8,90,57,15,100,60,45,0,75,0,0,116,0,63
23193,8,90,57,0,100,64,85,60,100,0,0,0,80,75
22687,8,90,51,0,0,60,10,0,100,0,0,0,100,56
23229,8,98,92,60,100,95,100,60,100,0,75,102,0,88
23220,8,90,87,0,100,66,80,40,100,0,80,0,90,75
19934,1,80,87,13,0,15,10,0,100,0,65,119,0,56
19219,1,90,80,0,99,52,50,0,55,0,0,101,0,69
22342,8,65,57,68,100,60,80,0,75,0,80,-42,101,81
23239,8,94,63,0,100,64,15,0,100,0,0,70,0,63
22742,8,90,67,0,83,60,0,0,0,0,0,96,0,56
12273,1,90,73,60,100,60,55,0,83,0,0,90,0,75
18431,5,0,0,0,0,0,10,0,75,0,0,0,0,6
18352,5,90,0,0,0,0,0,0,0,0,0,0,0,6
18195,5,71,3,3,98,60,55,0,98,0,0,35,0,28
18300,5,38,45,18,75,60,55,0,75,0,0,0,0,25
18315,5,45,46,80,90,60,0,0,0,0,33,35,0,19
18286,5,51,0,10,93,60,40,0,55,0,10,0,0,25
18302,5,25,31,3,78,15,35,0,68,0,20,47,0,13
18157,5,88,64,11,68,31,0,0,51,0,0,0,0,25
18306,5,90,15,3,98,31,75,0,75,0,25,15,0,25
18151,5,88,47,15,100,94,10,0,75,0,10,87,0,56
18350,5,0,0,15,54,53,10,0,55,0,0,0,26,19
18282,5,90,77,40,56,60,10,0,100,0,0,0,0,28
18281,5,0,0,0,0,0,0,0,0,0,0,0,0,0
18318,5,65,57,1,99,60,40,0,75,0,16,46,0,28
18252,5,90,21,0,100,56,40,0,66,0,60,33,0,28
18222,5,16,76,21,75,50,10,0,53,0,25,0,0,25
18433,5,25,0,0,0,0,0,0,0,0,0,0,0,0
18324,5,45,65,15,96,67,20,0,100,0,0,23,0,25
18373,5,31,57,1,0,0,0,8,50,0,0,0,0,13
18349,5,25,0,0,0,10,10,0,75,0,0,0,0,6
18476,5,30,22,15,58,0,15,0,66,18,0,0,0,13
18327,5,25,38,25,75,86,55,2,50,0,70,37,0,28
18172,5,90,86,0,100,60,75,0,66,0,0,54,0,69
18355,5,25,11,6,95,60,10,0,50,0,45,50,0,50
18435,5,31,33,15,93,60,45,0,75,0,50,0,0,25
18207,5,90,83,3,98,79,80,0,75,0,60,33,0,34
18231,5,45,0,8,0,13,0,29,0,0,0,7,0,0
18418,5,0,0,0,0,58,0,10,0,0,0,54,0,25
18441,5,31,13,15,70,49,40,0,100,0,33,37,0,13
18368,5,90,47,15,100,60,55,0,100,0,30,47,0,28
18425,5,90,0,15,100,38,0,5,33,0,0,67,0,38
18288,5,25,1,5,0,0,0,0,55,0,0,38,0,6
18154,5,25,45,46,100,60,10,0,75,0,93,0,0,25
18348,5,51,50,0,75,60,50,12,0,0,0,0,0,28
18229,5,65,44,0,100,60,10,40,66,0,13,46,0,25
18402,5,0,31,5,100,38,40,0,91,0,25,0,0,13
18320,5,60,77,1,100,60,10,0,55,0,30,62,0,63
18203,5,90,83,40,100,58,45,16,55,0,25,90,0,63
18192,5,41,53,60,100,96,40,0,66,0,40,7,0,28
18279,5,30,57,15,100,45,30,16,75,0,0,48,0,19
18411,5,25,45,15,50,21,10,0,75,0,65,38,0,19
18234,5,15,3,0,0,0,0,0,0,0,0,0,0,0
18163,5,45,56,0,100,81,40,5,100,0,100,56,0,63
18141,5,78,87,15,100,97,0,8,50,0,0,0,0,28
18189,5,25,0,5,100,100,0,0,100,0,100,23,0,25
18168,5,65,49,41,33,25,0,28,75,0,6,33,0,13
18179,5,81,23,5,87,60,0,0,66,0,0,50,0,56
18224,5,45,43,15,79,56,0,0,100,0,25,61,0,50
18291,5,86,49,15,100,100,0,28,93,0,100,67,0,63
18233,5,45,58,21,88,60,0,40,75,0,33,46,26,25
18310,5,84,47,25,100,92,0,9,100,0,40,0,0,25
18410,5,0,0,0,0,0,0,0,0,0,0,7,0,0
18277,5,25,0,15,0,15,55,0,0,0,0,0,0,6
18296,5,65,39,8,100,0,35,0,8,0,0,0,0,13
18165,5,0,57,0,100,33,45,0,100,0,8,0,0,19
18301,5,16,11,0,85,45,0,0,40,0,15,0,0,6
18219,5,60,77,60,100,100,10,40,50,0,26,0,40,31
18474,5,23,16,0,46,24,15,0,63,0,90,33,0,13
18185,5,60,1,8,43,0,15,0,0,0,0,100,0,25
18223,5,91,100,36,100,100,60,40,100,0,100,88,0,75
18326,5,65,0,60,88,68,55,0,63,0,55,62,0,75
18481,5,90,3,80,80,15,10,28,70,0,80,23,0,28
18221,5,45,6,1,69,57,40,0,75,0,8,0,40,19
18175,5,45,57,60,100,78,10,0,71,0,25,61,0,63
18218,5,92,100,80,95,100,15,53,100,0,0,84,0,75
18167,5,80,53,58,100,60,10,25,75,60,93,0,0,38
18248,5,65,39,0,88,60,55,0,75,0,0,23,0,28
18245,5,45,42,15,66,14,10,0,58,0,53,0,0,19
18359,5,45,53,0,100,60,10,16,75,0,65,23,0,28
18164,5,90,0,25,100,100,40,0,75,0,80,0,0,28
18148,5,20,41,8,75,60,40,0,100,0,36,0,0,19
18445,5,45,57,3,76,56,15,0,75,0,0,0,0,25
18460,5,25,67,11,71,98,0,8,91,0,55,0,0,28
18256,15,0,0,0,0,0,110,0,0,0,0,0,0,6
18478,5,25,55,5,100,60,25,0,100,0,60,0,0,28
18144,5,90,100,55,95,100,0,60,100,0,0,100,0,75
18214,5,60,95,60,93,97,0,60,100,0,0,100,0,75
18280,5,45,37,25,100,95,25,0,75,0,50,90,0,56
18153,5,90,100,40,85,45,10,2,66,0,35,84,0,56
18313,5,30,54,25,75,30,10,0,75,0,10,0,0,19
18308,5,45,11,0,100,52,10,0,75,0,40,0,0,19
18187,5,25,0,5,61,20,0,0,100,0,70,100,0,50
18438,5,25,0,0,75,54,0,0,75,0,25,88,0,50
18273,5,45,69,60,81,90,0,0,100,0,0,41,0,28
18249,5,45,87,0,100,60,0,0,75,0,36,15,0,25
18453,5,68,6,1,13,0,0,0,0,0,8,0,0,6
18403,5,0,72,25,74,46,0,0,68,0,50,0,0,25
18213,5,90,14,15,100,60,0,16,100,0,25,56,0,56
18475,5,81,0,31,0,0,0,0,0,0,0,0,0,6
18358,5,25,0,0,0,59,0,0,0,0,0,23,0,6
18319,5,25,44,15,58,60,10,0,100,0,56,46,0,25
18139,5,25,77,60,100,60,40,22,100,0,30,46,0,28
18426,5,45,10,40,93,50,35,13,75,0,25,100,0,50
18443,5,65,12,0,0,0,0,5,100,0,26,0,0,13
18162,5,20,19,0,0,0,0,0,0,0,0,0,0,0
18220,5,0,41,15,100,59,0,0,75,0,25,0,0,19
18408,5,28,41,13,50,15,0,16,100,0,0,0,0,13
18343,5,51,1,40,76,63,0,16,65,0,30,100,0,56
18479,5,90,35,18,75,60,0,0,51,0,8,0,0,25
18294,5,23,50,8,75,41,0,16,50,0,0,54,0,50
18275,5,25,47,8,70,0,0,0,0,0,0,0,0,6
17288,1,88,0,25,0,60,0,0,100,0,0,0,0,19
22431,8,90,87,53,75,60,-42,62,100,0,80,0,0,38
23102,8,0,77,18,100,60,50,0,100,0,0,68,0,63
22372,8,25,71,0,0,60,55,0,0,0,0,0,0,19
22667,8,45,61,60,86,15,10,28,100,0,35,0,113,56
19415,2,90,100,60,70,72,90,8,100,0,0,0,0,34
19390,2,90,87,63,100,100,40,0,100,0,0,100,0,69
19457,2,90,91,0,0,0,0,0,0,0,0,0,0,13
23255,8,125,82,100,100,56,15,36,100,0,0,0,58,69
21388,1,90,100,40,100,85,15,108,66,0,0,108,0,69
21928,1,90,87,0,100,90,-42,0,100,0,100,114,0,69
20465,1,90,60,0,60,0,40,0,100,0,0,96,0,56
20590,2,90,87,5,100,0,50,60,100,0,30,106,0,69
23075,8,0,14,0,100,0,35,13,100,0,80,100,30,50
23092,8,90,81,0,0,0,0,0,0,0,0,0,0,13
23202,8,110,92,0,100,60,80,0,100,0,0,0,83,69
21387,7,90,87,0,97,96,110,0,100,0,0,111,0,69
19352,2,90,100,102,93,97,10,61,100,0,0,0,0,34
19911,1,0,0,0,0,0,-42,0,0,0,0,119,0,13
21992,2,125,100,105,100,100,10,70,100,95,100,104,0,88
18760,7,65,3,0,97,60,35,0,0,0,0,101,0,50
23230,8,23,83,0,75,60,0,0,0,0,0,0,0,19
15791,1,90,48,0,0,0,0,0,0,0,0,0,0,6
18641,1,0,100,0,100,50,70,0,0,0,0,109,0,56
22671,8,65,67,11,100,60,75,0,100,0,0,0,75,69
22435,8,90,0,0,100,0,10,0,75,0,0,0,0,19
16008,7,65,34,0,75,60,0,0,18,0,0,77,0,50
22639,8,65,44,13,76,55,55,16,96,0,60,0,88,69
23254,8,90,91,60,0,58,40,0,100,0,0,100,0,63
22699,8,90,53,40,100,99,-42,40,100,68,0,0,113,69
22418,8,0,0,0,0,0,0,0,0,0,0,0,0,0
21220,7,90,31,0,100,0,0,0,0,100,80,0,100,56
22917,7,0,77,60,93,60,70,0,0,0,0,88,0,63
23037,7,65,70,60,100,0,75,0,0,0,80,111,0,69
22876,7,90,73,0,100,60,0,0,0,0,0,98,0,56
22923,7,38,15,0,0,0,0,0,0,0,0,0,0,0
21046,7,0,0,0,0,0,0,0,0,0,0,0,0,0
21102,7,88,15,0,90,93,-42,0,0,0,13,0,0,19
23502,7,0,0,0,0,0,0,0,0,0,0,0,0,0
22975,7,91,0,0,100,87,0,0,0,0,0,84,0,50
22987,7,90,87,0,55,60,75,55,100,0,75,111,0,81
20950,7,0,0,0,0,0,0,0,0,0,0,106,0,13
21009,7,90,67,0,100,0,0,0,100,0,0,98,0,56
22984,7,65,2,0,0,0,-42,0,0,0,0,0,0,6
20995,7,36,1,26,0,0,0,0,0,0,0,0,0,0
19711,7,0,0,0,0,0,0,0,0,0,0,0,0,0
19717,7,0,0,0,0,0,0,0,0,0,0,0,0,0
22988,7,90,60,10,0,60,0,0,0,0,0,100,0,50
20998,7,0,0,0,0,0,0,0,0,0,0,0,0,0
21168,7,90,15,0,0,0,0,0,0,0,0,0,0,6
22959,7,65,0,0,94,0,0,0,75,0,0,84,0,50
22896,7,0,0,0,0,0,0,0,0,0,0,0,0,0
21061,7,0,0,0,0,0,0,0,0,0,0,0,0,13
23012,7,65,57,0,100,60,0,9,75,0,0,89,0,63
22966,7,65,14,0,100,58,-42,0,75,0,13,0,0,25
19814,7,90,45,0,100,61,75,0,75,0,0,0,0,28
